Province;Commune;Indice CDL;Inégalité Gini/100;Déficit Education;Déficit Santé;Déficit Activité Economique;Déficit Habitat;Déficit Services Sociaux;Déficit Niveau de Vie;InégalitéGINII
Tata;Akka Ighane;0.613;33.4;0.616;0.500;0.065;0.391;0.299;0.451;0.334
Berkane;Aklim (Mun,);0.769;35.5;0.449;0.289;0.103;0.154;0.037;0.356;0.355
Taza;Aknoul (Mun,);0.734;39.7;0.429;0.374;0.118;0.241;0.091;0.345;0.397
Nador;Al Aaroui (Mun,);0.733;40.4;0.500;0.295;0.030;0.176;0.213;0.387;0.404
Fahs-Anjra;Al Bahraoyine;0.651;36.2;0.575;0.425;0.010;0.182;0.436;0.468;0.362
Nador;Al Barkanyene;0.596;46.4;0.558;0.511;0.092;0.291;0.462;0.508;0.464
Tétouan;Al Hamra;0.579;33.6;0.659;0.340;0.240;0.267;0.481;0.541;0.336
Sidi Kacem;Al Haouafate;0.603;24.3;0.564;0.472;0.184;0.241;0.417;0.501;0.243
Al Hoceima;Al Hoceima (Mun,);0.797;39.5;0.390;0.319;0.030;0.177;0.027;0.276;0.395
Tétouan;AL Kharroub;0.425;23.0;0.773;0.521;0.564;0.372;0.554;0.668;0.230
Meknès;Al Machouar - Stinia (Mun,);0.778;38.0;0.305;0.421;0.038;0.190;0.055;0.324;0.380
Assa-Zag;Al Mahbass;0.439;47.6;0.517;0.393;0.277;0.510;0.820;0.846;0.476
Médiouna;Al Majjatia Oulad Taleb;0.654;29.8;0.463;0.440;0.028;0.367;0.321;0.455;0.298
Tanger-Assilah;Al Manzla;0.569;35.4;0.684;0.395;0.070;0.301;0.565;0.570;0.354
Tétouan;Al Oued;0.541;24.1;0.717;0.391;0.302;0.283;0.549;0.515;0.241
Casablanca;Al-Fida (Arrond,);0.797;33.3;0.287;0.377;0.032;0.203;0.012;0.310;0.333
Tata;Allougoum;0.599;34.1;0.542;0.497;0.067;0.417;0.332;0.553;0.341
M'Diq-Fnideq;Allyene;0.616;29.5;0.667;0.398;0.042;0.216;0.480;0.503;0.295
Boulemane;Almis Marmoucha;0.514;31.2;0.614;0.358;0.350;0.395;0.582;0.618;0.312
Tinghir;Alnif;0.632;37.7;0.549;0.441;0.039;0.253;0.531;0.398;0.377
Marrakech;Alouidane;0.660;31.5;0.498;0.420;0.067;0.238;0.367;0.451;0.315
Taroudannt;Amalou;0.503;29.4;0.721;0.397;0.323;0.423;0.574;0.541;0.294
Driouch;Amejjaou;0.593;40.8;0.632;0.469;0.033;0.205;0.574;0.527;0.408
Errachidia;Amellagou;0.538;29.1;0.566;0.452;0.298;0.485;0.457;0.513;0.291
Midelt;Amersid;0.565;30.2;0.544;0.465;0.089;0.434;0.563;0.516;0.302
Ouarzazate;Amerzgane;0.655;30.6;0.564;0.412;0.140;0.250;0.248;0.453;0.306
Kénitra;Ameur Seflia;0.553;27.2;0.589;0.397;0.165;0.404;0.558;0.572;0.272
Es-Semara;Amgala;0.482;42.7;0.738;0.412;0.126;0.532;0.534;0.763;0.427
Al  Haouz;Amghras;0.602;30.1;0.692;0.395;0.125;0.323;0.324;0.531;0.301
Al  Haouz;Amizmiz (Mun,);0.760;33.1;0.415;0.337;0.063;0.184;0.060;0.381;0.331
Tiznit;Ammelne;0.560;38.8;0.652;0.685;0.066;0.233;0.563;0.441;0.388
Midelt;Amouguer;0.515;26.6;0.589;0.480;0.498;0.461;0.362;0.517;0.266
"Agadir-Ida
-Ou-Tanane";Amskroud;0.624;33.3;0.543;0.486;0.026;0.225;0.511;0.463;0.333
Chefchaouen;Amtar;0.492;31.1;0.712;0.341;0.614;0.233;0.604;0.545;0.311
Guelmim;Amtdi;0.572;33.7;0.777;0.511;0.006;0.369;0.392;0.512;0.337
Midelt;Anemzi;0.444;25.9;0.820;0.510;0.281;0.671;0.399;0.656;0.259
Azilal;Anergui;0.421;26.1;0.762;0.418;0.379;0.620;0.582;0.716;0.261
Casablanca;Anfa (Arrond,);0.804;41.8;0.263;0.338;0.023;0.291;0.089;0.174;0.418
Sidi Ifni;Anfeg;0.525;30.0;0.667;0.536;0.410;0.294;0.435;0.511;0.300
Fahs-Anjra;Anjra;0.577;34.2;0.679;0.428;0.151;0.240;0.506;0.534;0.342
Marrakech;Annakhil (Arrond,);0.729;30.8;0.459;0.390;0.045;0.225;0.100;0.408;0.308
Al  Haouz;Anougal;0.598;29.5;0.718;0.484;0.050;0.320;0.317;0.521;0.295
Tiznit;Anzi;0.607;37.1;0.673;0.464;0.060;0.232;0.472;0.458;0.371
Azilal;Anzou;0.637;28.9;0.555;0.411;0.047;0.252;0.469;0.447;0.289
Errachidia;Aoufous;0.662;31.6;0.461;0.426;0.115;0.302;0.311;0.409;0.316
Chtouka- Ait Baha;Aouguenz;0.537;38.3;0.691;0.613;0.100;0.331;0.540;0.502;0.383
Assa-Zag;Aouint Lahna;0.556;50.8;0.666;0.343;0.397;0.348;0.326;0.585;0.508
Assa-Zag;Aouint Yghomane;0.557;34.9;0.556;0.362;0.141;0.375;0.632;0.595;0.349
Taroudannt;Aoulouz (Mun,);0.682;29.0;0.544;0.295;0.111;0.194;0.338;0.424;0.290
"Agadir-Ida
-Ou-Tanane";Aourir;0.706;42.1;0.440;0.431;0.021;0.171;0.342;0.358;0.421
Aousserd;Aousserd;0.636;43.2;0.580;0.448;0.009;0.255;0.361;0.531;0.432
"Agadir-Ida
-Ou-Tanane";Aqesri;0.614;32.6;0.539;0.491;0.070;0.357;0.352;0.507;0.326
Essaouira;Aquermoud;0.523;27.3;0.655;0.397;0.310;0.372;0.520;0.609;0.273
Tanger-Assilah;Aquouass Briech;0.620;37.6;0.482;0.537;0.032;0.233;0.527;0.471;0.376
Taroudannt;Arazane;0.589;31.6;0.681;0.410;0.129;0.325;0.429;0.490;0.316
Sidi Ifni;Arbaa Ait Abdellah;0.573;28.3;0.753;0.453;0.010;0.352;0.520;0.476;0.283
Tiznit;Arbaa Ait Ahmed;0.547;36.1;0.761;0.531;0.022;0.346;0.537;0.521;0.361
Tiznit;Arbaa Rasmouka;0.641;35.1;0.667;0.452;0.030;0.243;0.378;0.381;0.351
Tiznit;Arbaa Sahel;0.631;37.5;0.595;0.457;0.006;0.218;0.508;0.430;0.375
Al Hoceima;Arbaa Taourirt;0.493;32.6;0.693;0.390;0.452;0.385;0.550;0.573;0.326
Kénitra;Arbaoua;0.615;24.6;0.542;0.435;0.157;0.252;0.430;0.496;0.246
Nador;Arekmane;0.656;40.4;0.483;0.434;0.037;0.230;0.434;0.445;0.404
Errachidia;Arfoud (Mun,);0.787;34.9;0.367;0.312;0.046;0.169;0.053;0.330;0.349
Taroudannt;Argana;0.561;31.4;0.657;0.494;0.087;0.413;0.451;0.535;0.314
Ouezzane;Asjen;0.553;33.3;0.549;0.450;0.414;0.298;0.437;0.534;0.333
