Province;Commune;Indice CDL;Inégalité Gini/100;Déficit Education;Déficit Santé;Déficit Activité Economique;Déficit Habitat;Déficit Services Sociaux;Déficit Niveau de Vie;InégalitéGINII
Fahs-Anjra;Malloussa;0.614;30.6;0.582;0.374;0.125;0.234;0.495;0.505;0.306
Chefchaouen;Mansoura;0.507;32.2;0.604;0.351;0.645;0.321;0.563;0.477;0.322
Khémisset;Marchouch;0.577;28.8;0.519;0.430;0.200;0.330;0.520;0.541;0.288
Marrakech;Marrakech- Médina (Arrond,);0.768;27.6;0.374;0.388;0.048;0.185;0.018;0.376;0.276
M'Diq-Fnideq;Martil (Mun,);0.771;36.3;0.383;0.318;0.023;0.195;0.109;0.346;0.363
Ouezzane;Masmouda;0.544;29.1;0.608;0.432;0.259;0.330;0.522;0.584;0.291
Chtouka- Ait Baha;Massa;0.718;35.0;0.450;0.409;0.032;0.171;0.263;0.369;0.350
Taza;Matmata;0.674;26.8;0.469;0.394;0.089;0.255;0.289;0.457;0.268
El Kelaa des Sraghna;Mayate;0.553;26.3;0.651;0.445;0.412;0.318;0.365;0.493;0.263
Guercif;Mazguitam;0.525;31.5;0.564;0.348;0.418;0.337;0.564;0.621;0.315
M'Diq-Fnideq;M'Diq (Mun,);0.767;35.6;0.441;0.320;0.022;0.173;0.049;0.394;0.356
Casablanca;Mechouar de Casablanca (Mun,);0.844;33.6;0.236;0.306;0.051;0.168;0.008;0.167;0.336
Marrakech;Méchouar- Kasba (Mun,);0.797;26.3;0.326;0.342;0.046;0.168;0.015;0.318;0.263
Sidi Kacem;Mechraa Bel Ksiri (Mun,);0.779;35.2;0.350;0.360;0.049;0.174;0.041;0.354;0.352
Taourirt;Mechraa Hammadi;0.500;37.0;0.673;0.411;0.247;0.375;0.609;0.682;0.370
Médiouna;Mediouna (Mun,);0.741;29.2;0.391;0.359;0.014;0.269;0.135;0.384;0.292
Kénitra;Mehdya (Mun,);0.780;33.7;0.343;0.352;0.039;0.175;0.045;0.365;0.337
Essaouira;Mejji;0.591;26.3;0.591;0.414;0.075;0.329;0.467;0.577;0.263
Taza;Meknassa Acharqia;0.534;29.2;0.563;0.402;0.222;0.340;0.607;0.661;0.292
Taza;Meknassa Al Gharbia;0.555;31.2;0.578;0.481;0.229;0.262;0.515;0.606;0.312
Meknès;Meknès (Mun,);0.801;40.6;0.320;0.354;0.030;0.192;0.018;0.281;0.406
Errachidia;Melaab;0.673;35.3;0.533;0.385;0.070;0.257;0.306;0.412;0.353
Taourirt;Melg El Ouidane;0.599;34.4;0.607;0.354;0.196;0.310;0.426;0.515;0.344
Benslimane;Mellila;0.570;24.6;0.540;0.476;0.185;0.312;0.514;0.549;0.246
Marrakech;Ménara (Arrond,);0.805;36.4;0.302;0.346;0.035;0.201;0.026;0.260;0.364
Skhirate- Témara;Mers El Kheir;0.726;32.2;0.408;0.458;0.027;0.233;0.111;0.409;0.322
Casablanca;Mers-Sultan (Arrond,);0.796;35.7;0.289;0.370;0.025;0.234;0.014;0.290;0.357
Essaouira;Meskala;0.626;31.1;0.699;0.386;0.084;0.292;0.290;0.495;0.311
Settat;Meskoura;0.562;23.6;0.649;0.416;0.166;0.330;0.541;0.524;0.236
Taounate;Messassa;0.544;27.7;0.627;0.408;0.330;0.314;0.505;0.553;0.277
Taourirt;Mestegmer;0.579;40.5;0.563;0.409;0.070;0.352;0.567;0.563;0.405
Oujda-Angad;Mestferki;0.521;25.2;0.569;0.415;0.299;0.341;0.561;0.687;0.252
Sidi Ifni;Mesti;0.583;36.6;0.551;0.510;0.023;0.314;0.618;0.486;0.366
Sidi Bennour;Metrane;0.567;23.6;0.616;0.387;0.339;0.318;0.424;0.514;0.236
El Jadida;Mettouh;0.542;30.7;0.577;0.396;0.408;0.330;0.522;0.514;0.307
Zagora;Mezguita;0.634;34.2;0.504;0.413;0.152;0.388;0.294;0.447;0.342
Taounate;Mezraoua;0.604;27.5;0.559;0.373;0.141;0.279;0.529;0.492;0.275
Khouribga;M'Fassis;0.606;32.2;0.464;0.456;0.040;0.346;0.549;0.512;0.322
Settat;M'Garto;0.496;25.9;0.580;0.394;0.541;0.329;0.604;0.576;0.259
Driouch;M'Hajer;0.592;41.6;0.653;0.465;0.062;0.242;0.525;0.501;0.416
Zagora;M'Hamid El Ghizlane;0.607;31.1;0.485;0.501;0.116;0.387;0.403;0.464;0.311
Meknès;M'haya;0.646;24.9;0.517;0.391;0.129;0.245;0.359;0.483;0.249
Midelt;Mibladen;0.558;36.5;0.610;0.394;0.308;0.431;0.371;0.537;0.365
Driouch;Midar (Mun,);0.739;42.9;0.480;0.301;0.048;0.173;0.215;0.346;0.429
Midelt;Midelt (Mun,);0.778;33.6;0.369;0.344;0.039;0.190;0.049;0.342;0.336
Moulay Yacoub;Mikkes;0.501;29.0;0.576;0.440;0.550;0.321;0.514;0.595;0.290
Sidi Ifni;Mirleft;0.653;39.0;0.556;0.425;0.013;0.199;0.477;0.410;0.390
Boulemane;Missour (Mun,);0.770;36.5;0.346;0.312;0.030;0.215;0.126;0.350;0.365
Taounate;Mkansa;0.547;31.4;0.629;0.414;0.303;0.306;0.508;0.558;0.314
Essaouira;M'Khalif;0.559;27.5;0.649;0.360;0.169;0.365;0.491;0.615;0.275
Marrakech;M'Nabha;0.603;26.0;0.588;0.408;0.243;0.301;0.345;0.498;0.260
Kénitra;Mnasra;0.545;25.0;0.621;0.428;0.367;0.293;0.527;0.496;0.250
Settat;Mniaa;0.580;24.7;0.623;0.388;0.171;0.317;0.533;0.486;0.247
Kénitra;Mograne;0.566;25.3;0.574;0.433;0.248;0.322;0.479;0.550;0.253
El Jadida;Mogress;0.537;32.6;0.674;0.381;0.318;0.334;0.508;0.561;0.326
Khénifra;Moha Ou Hammou Zayani;0.548;31.2;0.578;0.540;0.120;0.360;0.502;0.614;0.312
Mohammadia;Mohammadia (Mun,);0.804;33.5;0.284;0.334;0.022;0.219;0.081;0.234;0.335
Ouezzane;Moqrisset;0.574;29.1;0.471;0.453;0.374;0.307;0.469;0.482;0.291
Benslimane;Moualine El Oued;0.583;27.5;0.520;0.434;0.140;0.338;0.532;0.536;0.275
Essaouira;Mouarid;0.579;26.5;0.665;0.389;0.149;0.343;0.395;0.586;0.265
Safi;Moul El Bergui;0.554;25.4;0.616;0.429;0.153;0.330;0.570;0.577;0.254
Sidi Kacem;Moulay Abdelkader;0.461;27.6;0.648;0.660;0.291;0.334;0.696;0.606;0.276
Taounate;Moulay Abdelkrim;0.533;26.4;0.590;0.504;0.228;0.332;0.575;0.573;0.264
El Jadida;Moulay Abdellah;0.666;31.3;0.453;0.416;0.039;0.229;0.375;0.490;0.313
Al Hoceima;Moulay Ahmed Cherif;0.502;35.2;0.606;0.395;0.688;0.288;0.537;0.476;0.352
Azilal;Moulay Aissa Ben Driss;0.650;30.4;0.485;0.397;0.087;0.288;0.395;0.452;0.304
Errachidia;Moulay Ali Cherif (Mun,);0.771;35.4;0.408;0.305;0.087;0.187;0.067;0.321;0.354
Khénifra;Moulay Bouazza;0.629;25.2;0.518;0.499;0.140;0.272;0.273;0.521;0.252
Taounate;Moulay Bouchta;0.513;28.3;0.588;0.481;0.381;0.340;0.549;0.580;0.283
Kénitra;Moulay Bousselham;0.587;27.0;0.586;0.454;0.278;0.249;0.478;0.434;0.270
Essaouira;Moulay Bouzarqtoune;0.549;28.3;0.674;0.419;0.157;0.361;0.520;0.575;0.283
Al  Haouz;Moulay Brahim;0.644;26.0;0.627;0.455;0.054;0.269;0.223;0.507;0.260
Khémisset;Moulay Driss Aghbal;0.521;19.7;0.553;0.449;0.126;0.414;0.638;0.691;0.197
Meknès;Moulay Driss Zerhoun (Mun,);0.773;37.5;0.361;0.365;0.054;0.171;0.024;0.387;0.375
Casablanca;Moulay Rachid (Arrond,);0.784;31.5;0.331;0.355;0.033;0.226;0.022;0.328;0.315
Moulay Yacoub;Moulay Yacoub (Mun,);0.720;31.5;0.443;0.378;0.125;0.212;0.108;0.416;0.315
Khémisset;M'qam Tolba;0.518;23.4;0.561;0.387;0.271;0.425;0.625;0.619;0.234
Essaouira;M'Ramer;0.465;25.2;0.749;0.415;0.542;0.353;0.522;0.631;0.252
Meknès;MRhassiyine;0.654;31.3;0.518;0.477;0.156;0.209;0.166;0.552;0.313
Jerada;Mrija;0.559;39.3;0.640;0.285;0.200;0.389;0.511;0.624;0.393
Khénifra;M'Rirt (Mun,);0.763;33.3;0.434;0.323;0.036;0.167;0.046;0.413;0.333
Settat;Mrizigue;0.580;25.4;0.596;0.388;0.210;0.312;0.526;0.487;0.254
Sidi Slimane;M'saada;0.552;26.1;0.616;0.441;0.250;0.275;0.545;0.565;0.261
Tinghir;M'Semrir;0.571;35.3;0.707;0.396;0.121;0.443;0.346;0.561;0.353
Tan-Tan;Msied;0.409;44.7;0.697;0.291;0.581;0.556;0.687;0.732;0.447
Taza;Msila;0.542;35.0;0.521;0.463;0.433;0.314;0.481;0.540;0.350
Tinghir;M'Ssici;0.541;39.3;0.675;0.550;0.061;0.515;0.325;0.631;0.393
Sidi Bennour;M'Tal;0.571;21.8;0.619;0.444;0.316;0.299;0.421;0.476;0.218
Sefrou;Mtarnagha;0.610;33.0;0.487;0.509;0.117;0.329;0.398;0.503;0.330
Chefchaouen;M'tioua;0.567;32.7;0.575;0.355;0.573;0.238;0.392;0.466;0.327
Ouezzane;Mzefroune;0.541;28.0;0.554;0.527;0.274;0.322;0.526;0.553;0.280
El Kelaa des Sraghna;M'Zem Sanhaja;0.609;28.9;0.598;0.562;0.115;0.301;0.309;0.461;0.289
Essaouira;Mzilate;0.567;26.9;0.648;0.435;0.185;0.331;0.450;0.550;0.269
Midelt;M'Zizel;0.600;27.7;0.533;0.469;0.144;0.378;0.366;0.510;0.277
Chichaoua;M'Zouda;0.594;27.1;0.635;0.472;0.066;0.306;0.432;0.527;0.271
Settat;Mzoura;0.559;25.4;0.587;0.389;0.356;0.320;0.512;0.482;0.254
Nador;Nador (Mun,);0.772;43.2;0.418;0.293;0.042;0.186;0.101;0.329;0.432
Safi;Nagga;0.555;26.1;0.645;0.371;0.160;0.334;0.579;0.582;0.261
Oujda-Angad;Naima (Mun,);0.792;41.5;0.320;0.244;0.077;0.191;0.080;0.334;0.415
Béni Mellal;Naour;0.434;20.1;0.792;0.422;0.334;0.551;0.638;0.661;0.201
Al Hoceima;Nekkour;0.587;33.1;0.652;0.452;0.118;0.262;0.468;0.528;0.331
Chichaoua;Nfifa;0.627;24.3;0.570;0.510;0.084;0.274;0.298;0.504;0.243
Taroudannt;Nihit;0.560;34.5;0.656;0.547;0.067;0.443;0.399;0.529;0.345
Settat;N'Khila;0.572;20.9;0.662;0.399;0.184;0.304;0.532;0.486;0.209
Zagora;N'Kob;0.582;29.8;0.606;0.363;0.370;0.327;0.359;0.480;0.298
Nouaceur;Nouaceur (Mun,);0.746;36.6;0.339;0.362;0.018;0.250;0.228;0.329;0.366
Sidi Kacem;Nouirate;0.615;28.9;0.518;0.444;0.106;0.238;0.499;0.507;0.289
Meknès;N'zalat Bni Amar;0.632;28.4;0.554;0.476;0.171;0.286;0.172;0.549;0.284
Rehamna;Nzalat Laadam;0.628;36.1;0.498;0.364;0.224;0.273;0.390;0.482;0.361
Chtouka- Ait Baha;Ouad Essafa;0.630;35.4;0.660;0.411;0.023;0.197;0.458;0.469;0.354
Marrakech;Ouahat Sidi Brahim;0.693;36.0;0.472;0.463;0.060;0.205;0.228;0.414;0.360
Tinghir;Ouaklim;0.595;30.9;0.637;0.414;0.125;0.357;0.344;0.555;0.309
Meknès;Oualili;0.585;30.6;0.521;0.452;0.236;0.230;0.529;0.524;0.306
Taroudannt;Oualqadi;0.584;34.0;0.667;0.568;0.000;0.315;0.392;0.557;0.340
Azilal;Ouaouizeght;0.688;27.9;0.431;0.411;0.032;0.262;0.300;0.438;0.279
Azilal;Ouaoula;0.528;30.4;0.700;0.384;0.345;0.470;0.371;0.562;0.304
Khénifra;Ouaoumana;0.611;32.5;0.710;0.431;0.172;0.274;0.240;0.508;0.325
Chefchaouen;Ouaouzgane;0.447;34.0;0.648;0.415;0.775;0.380;0.552;0.549;0.340
Driouch;Ouardana;0.620;30.3;0.602;0.447;0.037;0.197;0.528;0.471;0.303
El Kelaa des Sraghna;Ouargui;0.644;31.3;0.499;0.468;0.132;0.260;0.285;0.490;0.313
Ouarzazate;Ouarzazate (Mun,);0.809;38.1;0.325;0.320;0.035;0.180;0.019;0.269;0.381
Al  Haouz;Ouazguita;0.570;27.7;0.707;0.413;0.146;0.338;0.428;0.550;0.277
Taounate;Oudka;0.534;28.0;0.594;0.432;0.377;0.330;0.543;0.520;0.280
Taza;Oued Amlil (Mun,);0.783;39.3;0.394;0.275;0.043;0.168;0.083;0.341;0.393
Kénitra;Oued El Makhazine;0.518;23.4;0.660;0.417;0.354;0.341;0.520;0.600;0.234
Ifrane;Oued Ifrane;0.546;29.8;0.599;0.433;0.287;0.393;0.439;0.572;0.298
Meknès;Oued Jdida;0.625;26.7;0.529;0.389;0.096;0.238;0.497;0.503;0.267
Taounate;Oued Jemaa;0.536;29.2;0.655;0.415;0.396;0.313;0.497;0.506;0.292
Tétouan;Oued Laou (Mun,);0.729;34.2;0.474;0.271;0.025;0.203;0.209;0.442;0.342
Chefchaouen;Oued Malha;0.497;31.2;0.691;0.403;0.500;0.310;0.598;0.515;0.312
Errachidia;Oued Naam;0.616;31.7;0.512;0.456;0.159;0.314;0.359;0.504;0.317
Settat;Oued Naanaa;0.570;26.2;0.572;0.441;0.204;0.331;0.555;0.478;0.262
Khouribga;Oued Zem (Mun,);0.756;39.9;0.389;0.344;0.045;0.188;0.100;0.396;0.399
Ouezzane;Ouezzane (Mun,);0.782;35.0;0.360;0.344;0.043;0.186;0.021;0.352;0.350
Tiznit;Ouijjane;0.635;37.9;0.677;0.420;0.022;0.245;0.404;0.421;0.379
Al  Haouz;Ouirgane;0.602;32.0;0.677;0.481;0.069;0.309;0.354;0.496;0.320
Meknès;Ouislane (Mun,);0.780;36.7;0.363;0.345;0.035;0.191;0.021;0.364;0.367
Ouarzazate;Ouisselsate;0.608;29.2;0.614;0.439;0.258;0.295;0.267;0.477;0.292
Boulemane;Ouizeght;0.480;27.0;0.549;0.466;0.507;0.433;0.586;0.579;0.270
Oujda-Angad;Oujda (Mun,);0.810;36.5;0.319;0.325;0.037;0.166;0.016;0.279;0.365
Al  Haouz;Oukaimden;0.607;27.4;0.593;0.353;0.057;0.345;0.448;0.565;0.274
El Kelaa des Sraghna;Oulad Aamer;0.588;25.6;0.565;0.472;0.312;0.321;0.309;0.492;0.256
Rehamna;Oulad Aamer Tizmarine;0.625;25.7;0.586;0.385;0.142;0.307;0.331;0.498;0.257
El Kelaa des Sraghna;Oulad Aarrad;0.602;27.2;0.597;0.421;0.312;0.309;0.269;0.480;0.272
Berrechid;Oulad Abbou (Mun,);0.734;40.3;0.449;0.274;0.103;0.211;0.164;0.395;0.403
Khouribga;Oulad Abdoune;0.630;26.1;0.479;0.397;0.037;0.326;0.472;0.510;0.261
El Jadida;Oulad Aissa;0.592;33.5;0.595;0.383;0.046;0.372;0.486;0.564;0.335
Khouribga;Oulad Aissa;0.501;21.6;0.627;0.413;0.221;0.441;0.631;0.661;0.216
Taroudannt;Oulad Aissa;0.652;29.3;0.515;0.401;0.093;0.211;0.440;0.428;0.293
Tétouan;Oulad Ali Mansour;0.335;22.8;0.834;0.383;0.987;0.401;0.633;0.753;0.228
Benslimane;Oulad Ali Toualaa;0.614;28.2;0.524;0.434;0.105;0.276;0.480;0.500;0.282
Boulemane;Oulad Ali Youssef;0.414;29.5;0.738;0.496;0.426;0.529;0.592;0.736;0.295
Settat;Oulad Amer;0.600;27.3;0.638;0.367;0.158;0.301;0.473;0.462;0.273
Driouch;Oulad Amghar;0.568;34.3;0.777;0.462;0.045;0.254;0.551;0.505;0.343
Sidi Bennour;Oulad Amrane;0.644;24.4;0.574;0.406;0.106;0.266;0.288;0.499;0.244
Taounate;Oulad Ayyad;0.646;30.8;0.530;0.396;0.090;0.213;0.419;0.478;0.308
Khouribga;Oulad Azzouz;0.600;23.8;0.527;0.380;0.092;0.334;0.558;0.506;0.238
Taroudannt;Oulad Berhil (Mun,);0.728;40.2;0.474;0.305;0.038;0.177;0.282;0.357;0.402
El Kelaa des Sraghna;Oulad Bouali Loued;0.603;31.1;0.569;0.395;0.267;0.321;0.359;0.469;0.311
Settat;Oulad Bouali Nouaja;0.560;22.1;0.682;0.358;0.226;0.314;0.548;0.511;0.221
Driouch;Oulad Boubker;0.555;24.5;0.771;0.407;0.184;0.270;0.516;0.521;0.245
Khouribga;Oulad Boughadi;0.507;26.8;0.539;0.430;0.354;0.367;0.612;0.656;0.268
Guercif;Oulad Bourima;0.482;25.2;0.520;0.348;0.387;0.333;0.716;0.803;0.252
Sidi Bennour;Oulad Boussaken;0.510;23.9;0.649;0.423;0.443;0.349;0.516;0.562;0.239
Settat;Oulad Chbana;0.564;20.3;0.659;0.360;0.198;0.348;0.548;0.500;0.203
El Kelaa des Sraghna;Oulad Cherki;0.539;24.9;0.621;0.450;0.446;0.339;0.404;0.507;0.249
Taza;Oulad Chrif;0.549;28.1;0.540;0.385;0.397;0.303;0.537;0.545;0.281
Inezgane- Ait Melloul;Oulad Dahou;0.683;33.5;0.500;0.407;0.030;0.226;0.305;0.436;0.335
Taounate;Oulad Daoud;0.567;27.8;0.590;0.417;0.231;0.348;0.494;0.518;0.278
Nador;Oulad Daoud Zkhanine;0.572;42.8;0.613;0.425;0.065;0.304;0.601;0.559;0.428
El Kelaa des Sraghna;Oulad El Garne;0.595;28.3;0.632;0.441;0.226;0.283;0.378;0.466;0.283
Settat;Oulad Fares;0.578;24.0;0.595;0.408;0.243;0.303;0.502;0.478;0.240
Settat;Oulad Fares El Halla;0.564;24.0;0.622;0.343;0.260;0.335;0.548;0.510;0.240
Khouribga;Oulad Fennane;0.495;18.6;0.646;0.384;0.227;0.433;0.648;0.694;0.186
Settat;Oulad Freiha;0.562;20.2;0.641;0.419;0.225;0.329;0.485;0.529;0.202
Khouribga;Oulad Ftata;0.482;23.0;0.555;0.356;0.389;0.352;0.727;0.728;0.230
Jerada;Oulad Ghziyel;0.521;28.7;0.672;0.371;0.060;0.463;0.640;0.665;0.287
Khouribga;Oulad Gouaouch;0.530;31.6;0.535;0.408;0.113;0.435;0.655;0.675;0.316
El Jadida;Oulad Hamdane;0.488;31.0;0.632;0.432;0.527;0.370;0.540;0.572;0.310
Marrakech;Oulad Hassoune;0.626;30.6;0.540;0.566;0.060;0.284;0.319;0.477;0.306
Rehamna;Oulad Hassoune Hamri;0.576;27.2;0.529;0.370;0.159;0.331;0.577;0.578;0.272
Rehamna;Oulad Imloul;0.568;26.0;0.692;0.411;0.128;0.324;0.428;0.608;0.260
El Kelaa des Sraghna;Oulad Khallouf;0.658;34.3;0.547;0.424;0.079;0.245;0.273;0.483;0.343
El Kelaa des Sraghna;Oulad Massaoud;0.620;30.1;0.532;0.426;0.275;0.289;0.280;0.479;0.301
Settat;Oulad M'Hamed;0.436;24.4;0.669;0.399;0.671;0.375;0.660;0.611;0.244
Taourirt;Oulad M'hammed;0.314;39.0;0.839;0.314;0.617;0.583;0.768;0.998;0.390
Moulay Yacoub;Oulad Mimoun;0.510;26.9;0.667;0.367;0.483;0.326;0.527;0.573;0.269
Sefrou;Oulad Mkoudou;0.630;34.3;0.474;0.452;0.149;0.288;0.378;0.477;0.343
Chichaoua;Oulad Moumna;0.580;26.3;0.621;0.402;0.133;0.335;0.455;0.571;0.263
Essaouira;Oulad M'Rabet;0.557;23.2;0.618;0.351;0.391;0.347;0.373;0.578;0.232
Settat;Oulad M'Rah (Mun,);0.770;40.2;0.383;0.289;0.090;0.172;0.062;0.382;0.402
El Kelaa des Sraghna;Oulad Msabbel;0.601;28.6;0.566;0.412;0.327;0.292;0.303;0.493;0.286
Al  Haouz;Oulad Mtaa;0.618;30.5;0.600;0.510;0.080;0.248;0.376;0.476;0.305
Sidi Kacem;Oulad Nouel;0.575;29.7;0.576;0.429;0.202;0.301;0.525;0.519;0.297
Larache;Oulad Ouchih;0.569;20.9;0.689;0.444;0.207;0.280;0.415;0.551;0.209
El Jadida;Oulad Rahmoune;0.545;32.1;0.672;0.392;0.227;0.349;0.545;0.548;0.321
Settat;Oulad Said;0.609;28.3;0.538;0.354;0.279;0.279;0.454;0.442;0.283
Nouaceur;Oulad Salah;0.658;30.5;0.432;0.426;0.036;0.314;0.418;0.429;0.305
Sidi Bennour;Oulad Sbaita;0.550;25.2;0.622;0.401;0.245;0.354;0.544;0.533;0.252
El Kelaa des Sraghna;Oulad Sbih;0.617;26.8;0.637;0.391;0.172;0.311;0.281;0.504;0.268
Nador;Oulad Settout;0.589;39.5;0.578;0.402;0.080;0.262;0.577;0.564;0.395
Settat;Oulad Sghir;0.578;28.4;0.583;0.340;0.276;0.310;0.538;0.483;0.284
Sidi Bennour;Oulad Si Bouhya;0.507;26.3;0.617;0.415;0.621;0.325;0.479;0.499;0.263
Jerada;Oulad Sidi Abdelhakem;0.363;44.2;0.787;0.400;0.428;0.549;0.795;0.860;0.442
El Jadida;Oulad Sidi Ali Ben Youssef;0.553;31.8;0.539;0.403;0.346;0.338;0.531;0.523;0.318
Fès;Oulad Tayeb;0.686;23.7;0.488;0.447;0.121;0.226;0.170;0.429;0.237
Taroudannt;Oulad Teima (Mun,);0.768;33.5;0.446;0.327;0.034;0.175;0.059;0.350;0.335
El Kelaa des Sraghna;Oulad Yaacoub;0.604;28.2;0.592;0.463;0.193;0.317;0.349;0.463;0.282
Zagora;Oulad Yahia Lagraire;0.580;30.2;0.614;0.435;0.174;0.482;0.326;0.492;0.302
Benslimane;Oulad Yahya Louta;0.590;23.0;0.508;0.389;0.209;0.333;0.520;0.499;0.230
El Kelaa des Sraghna;Oulad Zarrad;0.617;24.4;0.622;0.401;0.208;0.305;0.292;0.469;0.244
Taza;Oulad Zbair;0.633;29.2;0.531;0.394;0.152;0.249;0.387;0.488;0.292
Fquih Ben Salah;Ouled Bourahmoune;0.645;33.2;0.511;0.441;0.147;0.211;0.365;0.453;0.332
Berrechid;Ouled Cebbah;0.598;31.6;0.521;0.374;0.178;0.311;0.513;0.514;0.316
Marrakech;Ouled Dlim;0.577;26.2;0.679;0.363;0.174;0.311;0.437;0.577;0.262
El Jadida;Ouled Frej;0.660;30.5;0.449;0.434;0.201;0.233;0.261;0.464;0.305
El Jadida;Ouled Ghanem;0.613;27.4;0.604;0.405;0.154;0.328;0.325;0.503;0.274
Béni Mellal;Ouled Gnaou;0.661;31.6;0.513;0.426;0.074;0.214;0.337;0.472;0.316
El Jadida;Ouled Hcine;0.527;32.6;0.649;0.441;0.208;0.352;0.560;0.627;0.326
Sidi Slimane;Ouled H'Cine;0.590;31.5;0.583;0.472;0.179;0.284;0.418;0.524;0.315
Béni Mellal;Ouled M'Barek;0.694;34.8;0.437;0.404;0.043;0.217;0.297;0.436;0.348
Fquih Ben Salah;Ouled Nacer;0.603;30.0;0.535;0.430;0.319;0.268;0.363;0.469;0.300
Béni Mellal;Ouled Said L'Oued;0.634;32.4;0.559;0.395;0.136;0.226;0.361;0.519;0.324
Safi;Ouled Salmane;0.522;25.6;0.608;0.342;0.371;0.349;0.614;0.585;0.256
Béni Mellal;Ouled Yaich;0.661;28.2;0.485;0.390;0.164;0.235;0.295;0.466;0.282
Béni Mellal;Ouled Youssef;0.620;31.1;0.565;0.467;0.194;0.221;0.341;0.489;0.311
Khémisset;Oulmes;0.663;25.3;0.496;0.386;0.143;0.270;0.220;0.505;0.253
Oued Ed-Dahab;Oum Dreyga;;46.0;0.372;;0.000;0.500;0.794;0.531;0.460
Tata;Oum El Guerdane;0.669;39.0;0.471;0.411;0.067;0.332;0.265;0.442;0.390
Khénifra;Oum Rabia;0.398;26.1;0.616;0.343;0.661;0.579;0.694;0.720;0.261
Skhirate- Témara;Oumazza;0.610;24.1;0.451;0.363;0.066;0.376;0.515;0.567;0.241
Essaouira;Ounagha;0.578;30.0;0.619;0.444;0.169;0.292;0.492;0.519;0.300
Taroudannt;Ouneine;0.546;28.6;0.700;0.385;0.215;0.385;0.504;0.532;0.286
Ouezzane;Ounnana;0.526;26.0;0.570;0.456;0.395;0.322;0.519;0.579;0.260
Al  Haouz;Ourika;0.646;32.8;0.552;0.406;0.037;0.239;0.402;0.490;0.328
Taounate;Outabouabane;0.537;28.1;0.647;0.384;0.373;0.288;0.540;0.546;0.281
Boulemane;Outat El Haj (Mun,);0.784;32.8;0.383;0.294;0.028;0.169;0.055;0.370;0.328
Midelt;Outerbat;0.461;24.2;0.684;0.506;0.620;0.484;0.401;0.541;0.242
Taroudannt;Ouzioua;0.606;28.9;0.678;0.413;0.048;0.326;0.381;0.518;0.289
Chichaoua;Rahhala;0.530;26.2;0.772;0.463;0.044;0.324;0.617;0.598;0.262
Rehamna;Ras Ain Rhamna;0.624;30.3;0.600;0.375;0.126;0.286;0.346;0.525;0.303
Jerada;Ras Asfour;0.586;25.8;0.525;0.342;0.041;0.496;0.528;0.555;0.258
Youssoufia;Ras El Ain;0.550;28.6;0.676;0.369;0.189;0.318;0.564;0.585;0.286
Settat;Ras El Ain Chaouia;0.614;24.0;0.584;0.362;0.195;0.285;0.405;0.485;0.240
Nador;Ras El Ma (Mun,);0.697;42.7;0.459;0.374;0.035;0.173;0.371;0.403;0.427
Taounate;Ras El Oued;0.531;28.8;0.600;0.458;0.408;0.321;0.512;0.517;0.288
El Hajeb;Ras Ijerri;0.594;27.5;0.533;0.461;0.151;0.296;0.442;0.555;0.275
Guercif;Ras Laksar;0.509;33.6;0.603;0.372;0.388;0.387;0.587;0.608;0.336
Sefrou;Ras Tabouda;0.653;41.3;0.508;0.459;0.096;0.283;0.278;0.458;0.413
Guelmim;Rass Oumlil;0.528;34.9;0.545;0.348;0.066;0.469;0.646;0.759;0.349
Taounate;Ratba;0.505;29.6;0.544;0.411;0.599;0.341;0.573;0.499;0.296
Taza;Rbaa El Fouki;0.552;26.0;0.584;0.378;0.185;0.342;0.603;0.599;0.260
Benslimane;Rdadna Oulad Malek;0.588;29.7;0.471;0.417;0.224;0.320;0.527;0.512;0.297
Tiznit;Reggada;0.658;39.0;0.488;0.438;0.025;0.235;0.470;0.398;0.390
Azilal;Rfala;0.580;24.7;0.537;0.453;0.282;0.322;0.433;0.496;0.247
Taounate;Rghioua;0.600;24.6;0.499;0.494;0.087;0.271;0.548;0.500;0.246
Berrechid;Riah;0.570;23.8;0.554;0.442;0.211;0.313;0.543;0.517;0.238
Sefrou;Ribate El Kheir (Mun,);0.751;33.8;0.418;0.295;0.062;0.168;0.144;0.409;0.338
Settat;Rima;0.547;23.2;0.593;0.323;0.420;0.314;0.559;0.508;0.232
Berkane;Rislane;0.579;36.2;0.548;0.478;0.277;0.308;0.399;0.515;0.362
Larache;Rissana Chamalia;0.554;30.4;0.624;0.396;0.363;0.307;0.445;0.541;0.304
Larache;Rissana Janoubia;0.539;31.4;0.715;0.408;0.255;0.319;0.524;0.544;0.314
Khémisset;Rommani (Mun,);0.784;39.9;0.375;0.283;0.058;0.172;0.039;0.368;0.399
Khouribga;Rouached;0.446;18.8;0.604;0.299;0.510;0.449;0.702;0.760;0.188
Al Hoceima;Rouadi;0.541;29.4;0.600;0.511;0.315;0.292;0.488;0.550;0.294
Marrakech;Saada;0.696;32.1;0.465;0.416;0.051;0.240;0.226;0.427;0.321
Safi;Saadla;0.544;23.1;0.616;0.393;0.128;0.339;0.627;0.634;0.231
El Hajeb;Sabaa Aiyoun (Mun,);0.737;31.8;0.438;0.325;0.034;0.194;0.165;0.419;0.318
Skhirate- Témara;Sabbah;0.655;32.9;0.475;0.406;0.043;0.277;0.421;0.447;0.329
